name,company,role,twitter,linkedIn
"Ekaterina Daminova","Gemini","Business Development","","https://www.linkedin.com/in/ekaterina-daminova-89ba705a/?originalSubdomain=uk"
"Caroline Glassberg-Powell","Tracr","CTO","","https://www.linkedin.com/in/caroline-glassberg-powell-93a68164/?originalSubdomain=uk"
"Axel Cornier","Girondins de Bordeaux","CFO","","https://www.linkedin.com/in/axelcornier/"
"Marguerite de Tavernost","Ledger Cathay Fund","VC Investor","","https://www.linkedin.com/in/mdetavernost/?originalSubdomain=fr"
"Max Howell","PKGX","Founder","","https://www.linkedin.com/in/mxcl/"
"Karima Lachgar","Olky Wallet","CEO","",""
"Teddy Pahagbia","BLVCPIXEL","Chief Executive Druid","",""
"Cinderella Amar","Glass Ventures","Managing Partner","",""
"Bruce Fenton","Chainstone Labs","Founder & CEO","","https://www.linkedin.com/in/brucefenton/"
"Eugene Nacu","Rarible","CTO","","https://www.linkedin.com/in/evgenynacu/"
"Paolo Ardoino","Bitfinex","CTO of Bitfinex","https://twitter.com/paoloardoino","https://www.linkedin.com/in/prdn/"
"Gijs Koning","VanEck","COO Europe","","https://www.linkedin.com/in/gijs-koning-4767695/"
"Philippe Theunissen","CAIZ","CEO","","https://www.linkedin.com/in/philippetheunissen/"
"Leo Kahn","Undeads","CEO","","https://www.linkedin.com/in/leoundead/"
"Moodi Mahmoudi","NEXT","Co-Founder & CEO","","https://www.linkedin.com/in/moodimahmoudi/"
"Dyma Budorin","Hacken","Co-Founder & CEO","","https://www.linkedin.com/in/dyma-budorin-acca-ccssa-56a98035/?originalSubdomain=pt"
"Emma Joyce","Global Blockchain Business Council (GBBC)","Head of EMEA","","https://www.linkedin.com/in/emma-joyce-b3009b53/?originalSubdomain=uk"
"Diana Biggs","1KX Capital","Partner","","https://www.linkedin.com/in/dianabiggs/"
"Evan Cheng","Mysten Labs","Co-founder & CEO of Mysten Labs","","https://www.linkedin.com/in/chengevan/"
"Abel Peña","Bit2Me","CSO","","https://www.linkedin.com/in/abel-pe%C3%B1a-2098a85a/"
"Jeff Horowitz","BitGo","Chief Compliance Officer","","https://www.linkedin.com/in/jeff-horowitz-3381977/"
"Téo Bertrand","Michelin","Co-Founder Michelin 3xplorer Club; Social Media Manager @Michelin","","https://www.linkedin.com/in/teobertrand/"
"Nena Dokuzov","Ministry of Economy"," Tourism and Sport in Slovenia","",""
"Dominic Williams","DFINITY Foundation","Founder & Chief Scientist","","https://www.linkedin.com/in/thedwilliams/"
"Navroop Sahdev","The Digital Economist","Founder & CEO","","https://www.linkedin.com/in/navroopsahdev/"
"James Bowater","The Digital Commonwealth","Founder & CEO","","https://www.linkedin.com/in/james-bowater-b47612/?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app"
"Iana Dimitrova","OpenPayd","CEO","","https://www.linkedin.com/in/iana-dimitrova-575b291b/"
"Kerstin Eimers","Deutsche Telekom","Global Web3","","https://www.linkedin.com/in/kerstineimers/"
"Robert Le","PitchBook","Crypto Analyst","",""
"Merlin Egalite","Morpho Labs","Co-Founder and Integration Team Lead","","https://www.linkedin.com/in/merlin-egalite/"
"Ash Arora","LocalGlobe","Partner","","https://www.linkedin.com/in/aashima-arora/?originalSubdomain=uk"
"Paul Solntsev","Cointelegraph","Head of Cointelegraph Accelerator","","https://www.linkedin.com/in/pavel-solntsev-b337a096/?originalSubdomain=uk"
"Jana Bobosikova","KIKI World","Co-Founder and CEO","","https://www.linkedin.com/in/janabobosikova/"
